epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,286.584,1.36089,2.19512,1.19737,0.97685,0.90909,0.97337,0.535,1.40707,2.05989,1.1965,0.000662447,0.000662447,0.000662447
2,582.781,1.3438,1.41347,1.19327,0.9827,0.93906,0.98907,0.61424,1.19004,1.23998,1.12573,0.0013028,0.0013028,0.0013028
3,879.979,1.36944,1.16174,1.17065,0.99172,0.98995,0.99467,0.63203,1.22271,0.91447,1.13373,0.00191675,0.00191675,0.00191675
4,1147.78,1.31379,0.99736,1.17211,0.96799,0.99975,0.99333,0.65609,1.17583,0.79011,1.12734,0.0018812,0.0018812,0.0018812
5,1413.08,1.26642,0.88526,1.13283,0.94237,0.94594,0.97755,0.58659,1.28541,0.81326,1.19188,0.0018416,0.0018416,0.0018416
6,1678.05,1.2469,0.84156,1.13569,0.98213,0.99174,0.99467,0.72248,0.97449,0.60953,1.01817,0.001802,0.001802,0.001802
7,1980.31,1.19512,0.81455,1.09353,0.98335,0.98347,0.99251,0.71834,1.00652,0.61552,1.03099,0.0017624,0.0017624,0.0017624
8,2258.57,1.2029,0.78855,1.10996,0.99171,0.989,0.99343,0.71032,1.00179,0.61066,1.0329,0.0017228,0.0017228,0.0017228
9,2500.56,1.15978,0.74281,1.09461,0.96215,0.99174,0.99318,0.65027,1.18935,0.62713,1.10023,0.0016832,0.0016832,0.0016832
10,2740.3,1.17872,0.73161,1.09312,0.97168,0.98347,0.99309,0.73999,0.92281,0.55771,1.00283,0.0016436,0.0016436,0.0016436
11,2984.46,1.16246,0.73429,1.10035,0.97556,0.98985,0.99376,0.74039,0.93625,0.56474,0.98609,0.001604,0.001604,0.001604
12,3232.79,1.12069,0.74388,1.07881,0.98128,0.98347,0.99369,0.70732,1.02343,0.59751,0.99784,0.0015644,0.0015644,0.0015644
13,3476.84,1.12515,0.67855,1.0682,0.99222,0.98347,0.99492,0.72819,0.99718,0.53896,1.02945,0.0015248,0.0015248,0.0015248
14,3721.34,1.10788,0.69445,1.06943,0.99178,0.99663,0.99459,0.72725,0.92535,0.53337,0.9866,0.0014852,0.0014852,0.0014852
15,3966.05,1.09027,0.65227,1.05958,0.97567,0.99411,0.99268,0.73556,0.94413,0.52606,0.99394,0.0014456,0.0014456,0.0014456
16,4226.98,1.032,0.61998,1.04135,0.9836,0.99157,0.99467,0.76267,0.84732,0.47706,0.97018,0.001406,0.001406,0.001406
17,4478.14,1.05028,0.64528,1.05495,0.98245,0.99174,0.99425,0.7403,0.94987,0.48751,1.03422,0.0013664,0.0013664,0.0013664
18,4761.42,1.04766,0.62657,1.03694,0.98261,1,0.99299,0.7293,0.93646,0.47816,1.01664,0.0013268,0.0013268,0.0013268
19,5024.35,1.03056,0.61104,1.02566,0.9974,0.99174,0.995,0.75727,0.90898,0.50066,0.98197,0.0012872,0.0012872,0.0012872
20,5264.94,1.03558,0.61375,1.03471,0.98373,0.99918,0.99318,0.76657,0.89151,0.4851,0.97508,0.0012476,0.0012476,0.0012476
21,5514.11,0.99124,0.58987,1.01731,1,0.99812,0.995,0.73175,0.92136,0.51143,1.00119,0.001208,0.001208,0.001208
22,5763.16,0.98967,0.57597,1.01664,0.99175,0.99355,0.995,0.75328,0.89171,0.44275,0.9613,0.0011684,0.0011684,0.0011684
23,6056.7,0.98199,0.57983,1.01113,0.98372,0.99902,0.992,0.7717,0.83457,0.46031,0.96654,0.0011288,0.0011288,0.0011288
24,6379.3,1.00594,0.58361,1.02467,0.99178,0.99735,0.99492,0.70198,1.06397,0.50542,1.02174,0.0010892,0.0010892,0.0010892
25,6860.88,0.95095,0.56171,0.99912,0.9823,1,0.99467,0.74671,0.92223,0.45502,0.98897,0.0010496,0.0010496,0.0010496
26,7168,0.95752,0.54294,1.00168,0.98204,0.99174,0.99434,0.75567,0.95028,0.48251,1.00506,0.00101,0.00101,0.00101
27,7464.78,0.9405,0.55117,0.99848,0.97517,1,0.994,0.76556,0.85832,0.44368,0.95961,0.0009704,0.0009704,0.0009704
28,7758.98,0.97861,0.56909,1.01399,0.98782,1,0.99443,0.76283,0.85772,0.44002,0.97782,0.0009308,0.0009308,0.0009308
29,8045.47,0.96402,0.56596,1.01702,0.99008,0.99174,0.99492,0.7435,0.89509,0.45001,0.97569,0.0008912,0.0008912,0.0008912
30,8313.34,0.98857,0.54345,1.01132,0.9813,1,0.99451,0.76755,0.84563,0.43641,0.96638,0.0008516,0.0008516,0.0008516
